id;rang;sex;age;type;familyStatus;age0;entrance;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49
id8;1;female;106;active;married;57;0;0;0,009953663574004516;0,009804439949918135;0,009654478474429355;0,009503213091592026;0,009349690144524702;0,009194013085290666;0,009035980840404452;0,008874903477486505;0,008711898018191881;0,008544910921195711;0,008372746739353506;0,008194069170836297;0,00800949613874281;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id11;1;male;112;active;married;63;0;0;0,009927387844105243;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id12;1;female;78;active;married;29;0;0;0,01998841792985736;0,01957650262120535;0,019172678262283086;0,018776793787133744;0,018387951100451095;0,018005498360446376;0,017629368567192646;0,01726072897015581;0,008449286559356816;0,00835580876912825;0,008262593171015005;0,00816981922901146;0,008077244214779606;0,007984635133425596;0,007892012609648133;0,007799316189074513;0,007706328618247599;0,007613631268024337;0,007521391869382083;0,00742892028909684;0,007336013706613726;0,007242629543497369;0,007148727480123537;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id14;1;female;100;active;married;51;0;0;0,009970048592493298;0,00983820794235925;0,009705748994638072;0,0095736344132247;0,009440978379113608;0,009306631953020832;0,009170873263277547;0,009033385097818826;0,00889521710812773;0,008755847754843045;0,008614398379937877;0,008470964299649716;0,008325360253603016;0,008176950568071608;0,008026764418288776;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id16;1;female;73;active;married;24;0;0;0,0199900698152783;0,01958033823425103;0,009589207996838552;0,009488017071000818;0,009387986422105806;0,009288724308181416;0,009190134713177074;0,009092402944907464;0,008995523556724743;0,008899128287843831;0,008802953193156347;0,008707011590493596;0,008611932503215933;0,008517274382551007;0,008423044416215025;0,008329078751743048;0,008235558297200053;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id17;1;female;101;active;married;52;0;0;0,009967437658872714;0,009833238797504255;0,009699388825865003;0,009564990289279637;0,009428879156579695;0,009291337209449232;0,009152043069086315;0,009012060174664233;0,008870860136144883;0,008727552753894566;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id18;1;female;87;active;married;38;0;0;0,009989258641678517;0,009877820629545895;0,009766910611439033;0,009656238408846786;0,009545525479461501;0,00943479647983713;0,009323979137572332;0,009212813729038411;0,009101995275389786;0,008991724296786898;0,008881175748106982;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id19;1;male;83;active;married;34;0;0;0,009991845970380487;0,009882946866304492;0,009775026765602225;0,009667584485633618;0,009560628184860004;0,00945397188153689;0,009347820916472118;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id22;1;male;85;active;married;36;0;0;0,009990708786833023;0,009880895836311286;0,009771579587919382;0,009662569956300668;0,009554076813025057;0,00944581630295193;0,009337515953576028;0,009229199884152642;0,009120797397190884;0,009012054428780746;0,008903650854653672;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id23;1;female;81;active;married;32;0;0;0,019986768043807956;0,0195728683827496;0,009582885217869248;0,009478443294146386;0,009374940303728358;0,009271895577104521;0,009169316938814884;0,009067026019245323;0,008965219754717505;0,008863631785250878;0,008762006431941602;0,008660366327476039;0,0085586451317405;0,008456604439828949;0,008354882223934568;0,00825366254505425;0,008152188079697748;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id25;1;female;87;active;married;38;0;0;0,019978517283357033;0,019556089327181773;0,01914119161560259;0,01873314172332307;0,018331304067615316;0,017935642444622837;0,017545937391475214;0,01716162680907278;0,008391964818412334;0,008290295882653884;0,008188371029566256;0,008085966704461666;0,007983035976155895;0,007879534403191748;0,0077753380265309;0,007670652996573728;0,007566240126390354;0,0074613993350068145;0,007355222592082922;0,007247929708157576;0,007139269984013464;0,007030072980800206;0,006919926515236929;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id26;1;female;110;active;married;61;0;0;0,009937829835123412;0,009772359953235799;0,009604386733389422;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id28;1;female;103;active;married;54;0;0;0,009963515228426397;0,009825456852791879;0,009685639244923858;0,009544351859771575;0,009401264566989214;0,009257469764519353;0,009112424673606994;0,008965214853376943;0,008815939501766243;0,008664405813775942;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id30;1;female;103;active;married;54;0;0;0,009963515228426397;0,009825456852791879;0,009685639244923858;0,009544351859771575;0,009401264566989214;0,009257469764519353;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id31;1;female;76;active;married;27;0;0;0,01998883668063773;0,01957831880410404;0,019175641312400418;0,0187804754599795;0,009196535780013598;0,009098546858364757;0,009001047600505331;0,008903771038434902;0,0088067306425103;0,008710562640126531;0,00861482042557241;0,008519511268883123;0,0084244694410357;0,008329877921986327;0,008235489227994284;0,008141065799455392;0,008046628665136338;0,007952116186274946;0,007857306853101488;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id32;1;female;76;active;married;27;0;0;0,009994418340318865;0,009889048783705612;0,009784488780864041;0,009680637191105878;0,009577689212627742;0,00947563910807938;0,009374098961596305;0,009272790740602018;0,009171728473736701;0,009071574757047781;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id34;1;male;79;active;married;30;0;0;0,00999379898547336;0,00988752071240508;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id36;1;female;102;active;married;53;0;0;0,009965012856721325;0,009829369177591366;0,00969316958226194;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id38;1;female;86;active;married;37;0;0;0,019979969545533518;0,019559338177433036;0,019145773390154424;0,0187395808517031;0,01834009245508375;0,008973342976521283;0,008869251348122779;0,008765076672561104;0,008660574794686881;0,008556399074360488;0,008452738012065973;0,008348816017934173;0,008244405156890887;0,008139457578170535;0,008033927969518908;0,0079276899430133;0,00782095368841656;0,007714494926360242;0,00760759985830882;0,007499342661748684;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
