id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id21;active;male;not married;84;2017;3;4908,53184;25;0;20791,0;21507,7773129562;22248,58269545392;23014,430044035966;23806,87406416883;24625,84547960107;25471,9450805427;26346,56865954187;27250,657651386096;28184,03472514688;29146,690248043586;30139,436668436218;31165,33364699171;32223,815087165014;33315,82441437696;34441,62210262327;35602,8553588363;36799,401200496366;38031,00205585103;39298,46786779361;40602,19669709467;41941,66656327873;43320,66890234112;44741,10288580694;46199,71780255611;47695,66557941991;49228,908480943646;50799,31210502779;52406,08406986995;54050,52570801061;55738,18992560836;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id22;active;female;married;92;2017;4;5450,75317;33;0;25321,0;26188,283321637366;27082,771843973176;28005,220484748756;28958,47224572717;29942,00111646123;30956,683717081964;32002,762077052652;33081,76676225057;34193,58349872239;35337,97295373611;36515,687716982044;37727,09766198397;38971,717770442956;40253,07100140333;41572,92204336557;42928,25037266652;44318,26796939934;45742,93977021028;47202,140890202776;48695,13505725175;50223,13145469802;51791,28977955295;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id23;active;male;married;86;2017;3;570,7311057000001;27;0;18922,0;19573,33872697565;20247,297421522875;20943,81716549629;21663,408919639307;22407,25977919109;23176,17041668405;23969,99001550777;24788,710383163976;25633,02249166101;26505,528524694448;27405,747027828664;28334,480366592154;29291,950069206032;30279,557054101868;31297,196726965987;32344,650027880416;33422,60579800136;34531,40258050721;35670,59644084753;36843,41192383423;38051,464239033274;39291,98871794163;40564,264090323035;41868,25826288488;43203,856929176196;44570,38618341743;45968,95278439268;47404,279374068436;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id24;active;male;not married;96;2017;3;9328,93929;37;0;22825,0;23600,215152374527;24399,985601680106;25224,502114972824;26074,971080692398;26951,30242837644;27853,307516526154;28781,579534572782;29736,41001596148;30717,416670405;31727,37628597091;32767,679786002172;33835,94640082191;34931,55501498517;36054,47799163867;37204,61689679943;38381,391402502886;39585,75458422623;40821,77330306922;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id25;active;male;married;80;2017;3;7178,8893;21;0;26134,0;27036,373119820284;27970,181496272122;28935,943698671126;29933,83192110784;30965,811701344202;32032,38588276591;33135,01422241677;34275,9351067198;35455,048795226394;36673,22027534294;37932,45913869723;39234,120815556875;40577,94999380567;41963,93280465248;43393,23897022001;44870,27363543345;46394,221763073285;47966,44164942048;49587,30831178096;51259,19331551727;52981,9195966078;54755,1163162499;56579,949589321885;58456,99252362041;60385,49359801522;62370,91153059702;64415,980652625556;66516,02075438066;68669,81082293898;70877,29652869835;73138,28436630279;75451,63350444587;77819,21753600636;80249,03125486735;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id26;active;male;married;100;2017;3;3529,7410689999997;41;0;19384,0;20035,460237134674;20706,0062014844;21396,07886703529;22105,894958257853;22835,170282509844;23585,969089823797;24359,325385491466;25153,469317524392;25967,939151880844;26802,714343465574;27657,72171695963;28532,529859525366;29427,847282592877;30346,697269881766;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id27;active;male;not married;89;2017;3;3822,129504;30;0;20952,0;21671,872901566516;22416,0143866729;23185,225440677572;23979,35518804545;24798,395433077414;25643,03741774739;26515,8843424347;27416,4545645975;28345,55076325177;29303,394553170598;30291,387400130086;31309,42466895112;32357,28721412814;33435,66414595038;34544,89413986645;35684,53308787885;36857,80679464229;38066,33110079164;39307,34025765668;40580,112713197894;41884,61636158373;43220,73685170321;44587,80001447905;45986,913041110514;47422,800418719475;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id28;active;male;married;93;2005;3;9655,41212;34;0;20932,0;21646,95460468245;22384,257417225388;23146,180816928114;23932,304369562647;24743,32874772969;25579,447402854174;26441,88369900887;27330,546298309517;28245,243904798128;29186,5780549406;30154,844384480028;31149,65522375098;32173,82643425191;33228,76851163226;34312,067185336775;35423,09259992635;36561,81672965712;37728,13975543738;38921,4731832474;40142,783499717036;41396,19479257344;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id29;active;male;not married;96;2000;1;9492,026366;37;0;18976,0;19620,489933470275;20285,394382365022;20970,871944522423;21677,925574029305;22406,480389085275;23156,379558974826;23928,116243069137;24721,932813269883;25537,511445240103;26377,160674812;27242,03687269122;28130,16074050369;29041,015902052954;29974,579380912834;30930,769342110234;31909,103318900103;32910,37366879636;33937,961454503464;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id30;active;male;married;97;2003;3;6282,512605;38;0;19119,0;19766,909822921032;20434,866920594253;21123,848612100417;21833,7819295806;22564,514050834136;23316,52553032472;24090,052545049155;24884,785394101953;25702,97360829126;26545,744002064403;27411,167866926236;28298,742024998257;29208,444087120264;30140,19430998025;31093,52255844246;32069,200937758073;33070,52409235573;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
